filename,brand,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status
Asona Deep Dive - Asona-Triton-Fabwall-Installation-Manual-2025.pdf,Asona,Technical_Manual,acoustic_ceiling,28,0,Text Only
Asona Deep Dive - Asona-Triton-Fabwall-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,5,0,Text Only
Asona Deep Dive - Asona-Triton-Hygiene-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,7,0,Text Only
Asona Deep Dive - Asona-Triton-Pool-Panel-v3.pdf,Asona,Technical_Manual,acoustic_ceiling,5,0,Text Only
Asona Deep Dive - Asona-Triton-Sports-40-v3.pdf,Asona,Technical_Manual,acoustic_ceiling,5,0,Text Only
Asona Deep Dive - Asona-Triton-Trio-85-v3.pdf,Asona,Technical_Manual,acoustic_ceiling,4,0,Text Only
Asona Deep Dive - Asona-Ultratone-v3.pdf,Asona,Technical_Manual,perforated_panel,8,0,Text Only
Asona Deep Dive - DE-001-V2-Triton-Defender-50-Mounting-Detail.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - DE-002-V2-Triton-Defender-50-Securing-Methods.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - FW-002-V6-Fabwall-Joint-Detail-Options.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - FW-003-V4-Fabwall-Penetration-Detail.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - FW-004-V4-Asona-Fabwall-Head-and-Sill-Details-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - Knauf-Solopanel-v6.pdf,Asona,Technical_Manual,acoustic_ceiling,7,0,Text Only
Asona Deep Dive - Knauf-Stratopanel-v7.pdf,Asona,Technical_Manual,acoustic_ceiling,7,0,Text Only
Asona Deep Dive - OWA-Sinfonia-Balance-v6.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - OWA-Sinfonia-C-v8.pdf,Asona,Technical_Manual,acoustic_ceiling,4,0,Text Only
Asona Deep Dive - OWA-Sinfonia-Privacy-v7.pdf,Asona,Technical_Manual,acoustic_ceiling,3,0,Text Only
Asona Deep Dive - PD0344-Asona-AO-Gami-Installation-Instructions-WEB.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - PD0344-Asona-Sonawood-Installation-Guide-WEB-v2.pdf,Asona,Technical_Manual,acoustic_wall,18,0,Text Only
Asona Deep Dive - PD0344-Asona-Triton-Baffle-Beam-Installation-Guide-WEB.pdf,Asona,Technical_Manual,acoustic_baffle,18,0,Text Only
Asona Deep Dive - PD0344-Asona-Ultratone-Installation-Guide-WEB.pdf,Asona,Technical_Manual,perforated_panel,16,0,Text Only
Asona Deep Dive - Rondo-Donn-DXW.pdf,Asona,Technical_Manual,ceiling_grid,1,0,Text Only
Asona Deep Dive - TD-001-V3-Triton-Duo-Direct-Fix-Option.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - TD-002-V3-Triton-Duo-CLW190-Hold-Down-Clip.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - TD-003-V3-Triton-Duo-Standard-Section.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - TR-001-V3-Asona-Triton-Direct-Fix-v3.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - TR-006-V5-Asona-Triton-Floating-Island-with-Exposed-Grid-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - TR-007-V4-Asona-Triton-Recessed-Downlight-v20.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - TR-008-V4-Asona-Triton-Acoustic-Panel-Cover-Join-Options-v10.pdf,Asona,Technical_Manual,acoustic_ceiling,3,0,Text Only
Asona Deep Dive - TR-009-V3-Asona-Triton-Flush-Ceiling-Join-Details-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,4,0,Text Only
Asona Deep Dive - TR-012-V3-Asona-Triton-Penetration-Details-Services-Cavity-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
