doc_id,action,before_section,before_clause,after_section,after_clause,reason,logged_at
42d532a6-0b17-43c6-8a98-a9590e5a77ae,CLEAR_CLAUSE,Profile,,Profile,,metal_roofing_clause,2025-10-05 08:09:16.585278
fb848138-81b1-4e68-8637-e31614a26a5a,CLEAR_CLAUSE,Durability,,Durability,,metal_roofing_clause,2025-10-05 08:09:16.585278
15d96784-b866-461d-a3b1-7752e2476dbc,CLEAR_CLAUSE,3 - Substantial,,3 - Substantial,,metal_roofing_clause,2025-10-05 08:09:16.585278
fdcd4b67-c775-40c6-bc0d-2dc013bdf822,CLEAR_CLAUSE,0 - Clause,,0 - Clause,,metal_roofing_clause,2025-10-05 08:09:16.585278
6f24f607-0cae-41d8-b78d-66045b1aaefe,CLEAR_CLAUSE,Fit over flashing,,Fit over flashing,,metal_roofing_clause,2025-10-05 08:09:16.585278
d07c6d02-9591-4562-bc5c-bd27c24cbc19,CLEAR_CLAUSE,Bullnose,,Bullnose,,metal_roofing_clause,2025-10-05 08:09:16.585278
ce79cb63-3a6e-417b-85fb-95e63fd68f34,CLEAR_CLAUSE,Structure,,Structure,,metal_roofing_clause,2025-10-05 08:09:16.585278
23c71692-00d9-438f-b2df-85b92504de8d,CLEAR_CLAUSE,Batten Installation,,Batten Installation,,metal_roofing_clause,2025-10-05 08:09:16.585278
b9492fca-2368-4534-bb50-27e2f1813786,CLEAR_CLAUSE,ceilings,,ceilings,,metal_roofing_clause,2025-10-05 08:09:16.585278
f8050c4a-e5bd-4c26-a400-cae2d89cff47,CLEAR_CLAUSE,with a dominant,,with a dominant,,metal_roofing_clause,2025-10-05 08:09:16.585278
067781ba-9eb5-41cc-8db9-00cde6c42523,CLEAR_CLAUSE,0 - Clause,,0 - Clause,,metal_roofing_clause,2025-10-05 08:09:16.585278
d93b57b0-96b0-4814-842d-00f3798510a2,CLEAR_CLAUSE,2 - Editing and,,2 - Editing and,,metal_roofing_clause,2025-10-05 08:09:16.585278
8fc70fbb-c038-4da3-8c1a-9dd1d86bf262,CLEAR_CLAUSE,4 - Clause,,4 - Clause,,metal_roofing_clause,2025-10-05 08:09:16.585278
211c302e-af04-472e-b1a2-a539f0bcbe8e,CLEAR_CLAUSE,1 - Minor,,1 - Minor,,metal_roofing_clause,2025-10-05 08:09:16.585278
0d504e35-b8e0-416f-bfbb-e67068e7b8c6,CLEAR_CLAUSE,2019 – February,,2019 – February,,metal_roofing_clause,2025-10-05 08:09:16.585278
73a87ce8-5719-4e03-8c4f-14661bbcbdee,CLEAR_CLAUSE,EXTERNAL MOISTURE PENETRATIONS,,EXTERNAL MOISTURE PENETRATIONS,,metal_roofing_clause,2025-10-05 08:09:16.585278
414dbcbb-666c-4873-b29b-a02c070de763,CLEAR_CLAUSE,INTERNAL MOISTURE,,INTERNAL MOISTURE,,metal_roofing_clause,2025-10-05 08:09:16.585278
48de622d-7bf6-4d01-a27f-713d3b473556,CLEAR_CLAUSE,Ridge and,,Ridge and,,metal_roofing_clause,2025-10-05 08:09:16.585278
273e4e2f-4c22-445c-be9d-a1c19f9c2074,CLEAR_CLAUSE,Barrel Trim,,Barrel Trim,,metal_roofing_clause,2025-10-05 08:09:16.585278
fa4d6a38-2422-43b0-8735-524260bf8703,CLEAR_CLAUSE,3 - Substantial,,3 - Substantial,,metal_roofing_clause,2025-10-05 08:09:16.585278
04bc574c-3f3f-4f92-820a-4c909d1a36a1,CLEAR_CLAUSE,OTHER PRODUCTS,,OTHER PRODUCTS,,metal_roofing_clause,2025-10-05 08:09:16.585278
15969d59-9ef1-411c-bc71-7750ce22b561,CLEAR_CLAUSE,Wall To Roof Junctions,,Wall To Roof Junctions,,metal_roofing_clause,2025-10-05 08:09:16.585278
6ab530f0-7e9d-47b5-b4a7-83c8d43b15c7,CLEAR_CLAUSE,Rib cap,,Rib cap,,metal_roofing_clause,2025-10-05 08:09:16.585278
6c79bf81-90ab-4a6e-afbf-a15eabe99e3a,CLEAR_CLAUSE,2018 – November,E2,2018 – November,,metal_roofing_clause,2025-10-05 08:09:16.585278
b68870a6-f38a-47b1-b734-3525755f4754,CLEAR_CLAUSE,4 - Clause,,4 - Clause,,metal_roofing_clause,2025-10-05 08:09:16.585278
75587d0a-78c3-40a4-915a-15a1fac17d45,CLEAR_CLAUSE,0 - Clause,,0 - Clause,,metal_roofing_clause,2025-10-05 08:09:16.585278
ca4f26ec-9335-47c6-bc51-e5f5035a5d2e,CLEAR_CLAUSE,2 - Editing and,,2 - Editing and,,metal_roofing_clause,2025-10-05 08:09:16.585278
e691d9a8-2d8b-4681-bd42-1b5dbe9b73db,CLEAR_CLAUSE,0 - Clause,,0 - Clause,,metal_roofing_clause,2025-10-05 08:09:16.585278
8233325e-cb8f-4ff9-8b43-dbc263ba5c21,CLEAR_CLAUSE,Workmanship,,Workmanship,,metal_roofing_clause,2025-10-05 08:09:16.585278
0e800bea-986e-4a64-ae99-0ab79cc2404f,CLEAR_CLAUSE,Angle Seam,,Angle Seam,,metal_roofing_clause,2025-10-05 08:09:16.585278
4c059828-a05f-44d0-bae4-0302d886a2d7,CLEAR_CLAUSE,Standing Seam Cladding on a,,Standing Seam Cladding on a,,metal_roofing_clause,2025-10-05 08:09:16.585278
e82e0743-369a-438a-b5d1-f9ffd166aa0a,CLEAR_CLAUSE,Tray Fixings,,Tray Fixings,,metal_roofing_clause,2025-10-05 08:09:16.585278
d7d9ebc6-63ec-429b-af40-ac1650382ac2,CLEAR_CLAUSE,4 - Clause,,4 - Clause,,metal_roofing_clause,2025-10-05 08:09:16.585278
6686ac5f-a0b3-4281-8879-3c19c1340839,CLEAR_CLAUSE,Staggered End Laps,,Staggered End Laps,,metal_roofing_clause,2025-10-05 08:09:16.585278
83a8dd09-bbd7-4e66-907c-7a8937611dfb,CLEAR_CLAUSE,2 - Editing and,,2 - Editing and,,metal_roofing_clause,2025-10-05 08:09:16.585278
c5ac459a-77f7-49bb-882e-dcb956de43c9,CLEAR_CLAUSE,4 - Clause,,4 - Clause,,metal_roofing_clause,2025-10-05 08:09:16.585278
efe3ad21-9629-4282-905d-e8bdd3f9b2d3,CLEAR_CLAUSE,1 - Minor,G7,1 - Minor,,metal_roofing_clause,2025-10-05 08:09:16.585278
bbe52a06-8a90-43e8-8d08-0cafe5dcf3e2,CLEAR_CLAUSE,Tray Roof Flashing,,Tray Roof Flashing,,metal_roofing_clause,2025-10-05 08:09:16.585278
cefd58d7-ddf6-4a5e-bd58-298b6e8c519b,CLEAR_CLAUSE,Tray Window Head,,Tray Window Head,,metal_roofing_clause,2025-10-05 08:09:16.585278
288b9ac3-c853-48f7-9b4b-c9128080a827,CLEAR_CLAUSE,OTHER PRODUCTS,,OTHER PRODUCTS,,metal_roofing_clause,2025-10-05 08:09:16.585278
b4e2c5d6-9f74-4101-98fe-95519c98c12f,CLEAR_CLAUSE,Warm Roofs,,Warm Roofs,,metal_roofing_clause,2025-10-05 08:09:16.585278
edee7d6a-1771-43ee-bd44-0eb159c967be,CLEAR_CLAUSE,Mineral Fibre,,Mineral Fibre,,metal_roofing_clause,2025-10-05 08:09:16.585278
0b8bd2e3-b6b6-4f76-9425-90804ad51f8a,CLEAR_CLAUSE,,E2/AS1,,,metal_roofing_clause,2025-10-05 08:09:16.585278
cb0d0abd-cc58-4700-a931-8532e87f6604,CLEAR_CLAUSE,Insulated Panel Flashings,,Insulated Panel Flashings,,metal_roofing_clause,2025-10-05 08:09:16.585278
19375f6c-1f93-4bb5-9d25-2842fcb43917,CLEAR_CLAUSE,Insulated Panels Barge Flashing,,Insulated Panels Barge Flashing,,metal_roofing_clause,2025-10-05 08:09:16.585278
3f5047c1-030c-4b28-a593-92d086e197e1,CLEAR_CLAUSE,Transition Flashings,,Transition Flashings,,metal_roofing_clause,2025-10-05 08:09:16.585278
e81f1748-ad48-4387-a2d9-f0b6a6ee5bf4,CLEAR_CLAUSE,Composite System Installation,,Composite System Installation,,metal_roofing_clause,2025-10-05 08:09:16.585278
823df2d3-5fb7-464b-b536-c11202c1b3d5,CLEAR_CLAUSE,Roof,,Roof,,metal_roofing_clause,2025-10-05 08:09:16.585278
cd78a9b2-ed9d-4f57-91f1-71b3c05a6e11,CLEAR_CLAUSE,Roof cladding,,Roof cladding,,metal_roofing_clause,2025-10-05 08:09:16.585278
43bf9a2e-91a2-4e2d-bd36-30d668ee102a,CLEAR_CLAUSE,Inspection,,Inspection,,metal_roofing_clause,2025-10-05 08:09:16.585278
ec84324a-fc64-40a7-b116-fce98f1fcc2d,CLEAR_CLAUSE,Reactive Maintenance,,Reactive Maintenance,,metal_roofing_clause,2025-10-05 08:09:16.585278
e934d328-bb8d-483b-9400-4562ac1161c1,CLEAR_CLAUSE,Preventative Maintenance,,Preventative Maintenance,,metal_roofing_clause,2025-10-05 08:09:16.585278
d322abd5-8dce-4b80-b5af-5b60dbb231cb,CLEAR_CLAUSE,MAINTENANCE,,MAINTENANCE,,metal_roofing_clause,2025-10-05 08:09:16.585278
0defa6ea-9d25-4e02-92cc-31dee4f9af52,CLEAR_CLAUSE,Total coated,,Total coated,,metal_roofing_clause,2025-10-05 08:09:16.585278
bb9e9199-3d3a-4694-a95e-094264331b70,CLEAR_CLAUSE,Climate,,Climate,,metal_roofing_clause,2025-10-05 08:09:16.585278
e81d83f6-35fb-4647-b46e-12f80c646d51,CLEAR_CLAUSE,UDL Load Testing Standard,,UDL Load Testing Standard,,metal_roofing_clause,2025-10-05 08:09:16.585278
e91ed510-1fee-4faa-8678-e4e50a0de8bd,CLEAR_CLAUSE,Deflection Around a Fastener Under Load,,Deflection Around a Fastener Under Load,,metal_roofing_clause,2025-10-05 08:09:16.585278
af494f55-6d41-4300-b1a7-8290f557c166,CLEAR_CLAUSE,Number of Specimens,,Number of Specimens,,metal_roofing_clause,2025-10-05 08:09:16.585278
3c1b8ab8-87d4-4f9c-904b-860cca6ba0f3,CLEAR_CLAUSE,Test Report,,Test Report,,metal_roofing_clause,2025-10-05 08:09:16.585278
49185dfe-c8e7-4681-8ac9-49841bb3bfe8,CLEAR_CLAUSE,Preparation of Test Panel,,Preparation of Test Panel,,metal_roofing_clause,2025-10-05 08:09:16.585278
