agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Product Rep,C_Interiors,Autex,Mirage Manufacturer's Guarantee NZ UK.pdf,0.05,Ingested,21,0,Autex Deep Dive - Mirage Manufacturer's Guarantee NZ UK.pdf,C_Interiors/Autex/18_Mirage_Textured_Panel/Mirage Manufacturer's Guarantee NZ UK.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/01_3D_Acoustic_Ceiling_Tiles/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/02_3D_Acoustic_Wall_Tiles/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/03_Accent_Ceiling_Tiles/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/04_Acoustic_Timber/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/05_Cascade_Screens/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/06_Composition/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/08_Cove/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/09_Cube_Acoustic_Panel/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/11_Frontier/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/14_Groove_Panel/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/15_Horizon/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/16_Lanes/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/17_Lattice/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/19_Quietspace_Panel/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ Product Information Requirements.pdf,0.37,Ingested,180,0,Autex Deep Dive - NZ Product Information Requirements.pdf,C_Interiors/Autex/21_Vertiface/NZ Product Information Requirements.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/01_3D_Acoustic_Ceiling_Tiles/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/02_3D_Acoustic_Wall_Tiles/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/03_Accent_Ceiling_Tiles/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/05_Cascade_Screens/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/06_Composition/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/07_Composition_Peel_n_Stick_Tiles/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/08_Cove/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/09_Cube_Acoustic_Panel/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/11_Frontier/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/14_Groove_Panel/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/15_Horizon/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/16_Lanes/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/17_Lattice/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,NZ_Colour Guide.pdf,4.9,Ingested,102,0,Autex Deep Dive - NZ_Colour Guide.pdf,C_Interiors/Autex/21_Vertiface/NZ_Colour Guide.pdf
Product Rep,C_Interiors,Autex,QS NZ Panel Install Instructions.pdf,0.06,Ingested,54,0,Autex Deep Dive - QS NZ Panel Install Instructions.pdf,C_Interiors/Autex/19_Quietspace_Panel/QS NZ Panel Install Instructions.pdf
Product Rep,C_Interiors,Autex,QS NZ Panel Manufacturers Guarantee.pdf,0.05,Ingested,21,0,Autex Deep Dive - QS NZ Panel Manufacturers Guarantee.pdf,C_Interiors/Autex/19_Quietspace_Panel/QS NZ Panel Manufacturers Guarantee.pdf
Product Rep,C_Interiors,Autex,QS NZ Panel_Datasheet.pdf,0.16,Ingested,27,0,Autex Deep Dive - QS NZ Panel_Datasheet.pdf,C_Interiors/Autex/19_Quietspace_Panel/QS NZ Panel_Datasheet.pdf
Product Rep,C_Interiors,Autex,QS Panel Lookbook.pdf,3.61,Ingested,9,0,Autex Deep Dive - QS Panel Lookbook.pdf,C_Interiors/Autex/19_Quietspace_Panel/QS Panel Lookbook.pdf
