filename,brand,category,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status,agent_zone
CHH Woodproducts - CHHTimberPinexVerifiedPTSAndBPISCurrent.pdf,CHH Woodproducts,Other,Technical_Data_Sheet,framing,14,0,Text Only,Product Rep
CHH Woodproducts - LaserframeProductGuideCurrent.pdf,CHH Woodproducts,Other,Product_Guide,framing,17,0,Text Only,Product Rep
CHH Woodproducts - Timber-CHH-LOSP-Azole-Treated-Solid-Wood-Timber-September-2018.pdf,CHH Woodproducts,Other,Technical_Data_Sheet,treated_timber,50,0,Text Only,Product Rep
E1-AS1_1st-Edition-Amd12-2024,NZ Building Code,NZ Building Code,Compliance_Document,acceptable_solution,128,0,Text Only,Inspector
E2-AS1_4th-Edition-2025,NZ Building Code,NZ Building Code,Compliance_Document,acceptable_solution,491,0,Text Only,Inspector
E3-AS1_2nd-Edition-Amd7-2020,NZ Building Code,NZ Building Code,Compliance_Document,acceptable_solution,42,0,Text Only,Inspector
Earthwool Deep Dive - BRANZ Certificate.pdf,Earthwool,Earthwool Deep Dive,Certification,wall_insulation,21,0,Text Only,Product Rep
Earthwool Deep Dive - CodeMark Certificate.pdf,Earthwool,Earthwool Deep Dive,Certification,general_insulation,53,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool Glasswool Product Guide.pdf,Earthwool,Earthwool Deep Dive,Installation_Guide,general_insulation,67,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool glasswool Building Product Information Sheet.pdf,Earthwool,Earthwool Deep Dive,BPIR_Declaration,acoustic_insulation,23,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool glasswool Ceiling - Skillion Roof Datasheet.pdf,Earthwool,Earthwool Deep Dive,Technical_Data_Sheet,ceiling_insulation,12,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool glasswool Ceiling Installation Instructions.pdf,Earthwool,Earthwool Deep Dive,Installation_Guide,ceiling_insulation,10,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool glasswool Floorshield Underfloor Datasheet.pdf,Earthwool,Earthwool Deep Dive,Technical_Data_Sheet,underfloor_insulation,9,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool glasswool Floorshield Underfloor Installation Instructions.pdf,Earthwool,Earthwool Deep Dive,Installation_Guide,underfloor_insulation,10,0,Text Only,Product Rep
Earthwool Deep Dive - Earthwool glasswool Product Finder.pdf,Earthwool,Earthwool Deep Dive,Product_Guide,general_insulation,10,0,Text Only,Product Rep
