agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Product Rep,A_Structure,Abodo Wood,DK14S-90x21-Profile-Drawing-Abodo-Wood.pdf,0.43,Ingested,1,0,Abodo Wood - DK14S-90x21-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/DK14S-90x21-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,DK16V-142x27mm-Profile-Drawing-Abodo-Wood.pdf,0.41,Ingested,1,0,Abodo Wood - DK16V-142x27mm-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/DK16V-142x27mm-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,DK4R-140x27-Profile-Drawing-Abodo-Wood.pdf,0.05,Ingested,1,0,Abodo Wood - DK4R-140x27-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/DK4R-140x27-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,FSC-Certificate-SGS-COC-004944.pdf,1.98,Ingested,2,0,Abodo Wood - FSC-Certificate-SGS-COC-004944,A_Structure/Abodo_Wood/Certificates_Warranties/FSC-Certificate-SGS-COC-004944.pdf
Product Rep,A_Structure,Abodo Wood,Group-Number-Classification-Certificate-Fire-Rating-Abodo-Wood.pdf,0.14,Ingested,4,0,Abodo Wood - Group-Number-Classification-Certificate-Fire-Rating-Abodo-Wood,A_Structure/Abodo_Wood/Certificates_Warranties/Group-Number-Classification-Certificate-Fire-Rating-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,How-Vulcan-Timber-Weathers-Abodo-Wood.pdf,0.2,Ingested,2,0,Abodo Wood - How-Vulcan-Timber-Weathers-Abodo-Wood,A_Structure/Abodo_Wood/Color_Finishes_Textures/How-Vulcan-Timber-Weathers-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Look-Book-Vulcan-Feature-Timber-Projects.pdf,8.45,Ingested,7,0,Abodo Wood - Look-Book-Vulcan-Feature-Timber-Projects,A_Structure/Abodo_Wood/Brochures_Fact_Sheets/Look-Book-Vulcan-Feature-Timber-Projects.pdf
Product Rep,A_Structure,Abodo Wood,M116317-Abodo-Profile-Drawing-Download-Vulcan-Shingles-450x120.pdf,0.05,Ingested,1,0,Abodo Wood - M116317-Abodo-Profile-Drawing-Download-Vulcan-Shingles-450x120,A_Structure/Abodo_Wood/Profile_Drawings/M116317-Abodo-Profile-Drawing-Download-Vulcan-Shingles-450x120.pdf
Product Rep,A_Structure,Abodo Wood,M116317-Abodo-Profile-Drawing-Download-Vulcan-Shingles-450x90.pdf,0.05,Ingested,1,0,Abodo Wood - M116317-Abodo-Profile-Drawing-Download-Vulcan-Shingles-450x90,A_Structure/Abodo_Wood/Profile_Drawings/M116317-Abodo-Profile-Drawing-Download-Vulcan-Shingles-450x90.pdf
Product Rep,A_Structure,Abodo Wood,Maintenance-Guidelines-Timber-Cladding-Screening-NZ-Abodo-Wood.pdf,0.39,Ingested,6,0,Abodo Wood - Maintenance-Guidelines-Timber-Cladding-Screening-NZ-Abodo-Wood,A_Structure/Abodo_Wood/Guides_Manuals/Maintenance-Guidelines-Timber-Cladding-Screening-NZ-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Maintenance-Guidelines-Vulcan-Sand-Decking-Abodo-Wood.pdf,0.2,Ingested,6,0,Abodo Wood - Maintenance-Guidelines-Vulcan-Sand-Decking-Abodo-Wood,A_Structure/Abodo_Wood/Guides_Manuals/Maintenance-Guidelines-Vulcan-Sand-Decking-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,OPX-Treatment-Guide-Abodo-Wood-Feb-2023.pdf,0.51,Ingested,8,0,Abodo Wood - OPX-Treatment-Guide-Abodo-Wood-Feb-2023,A_Structure/Abodo_Wood/Guides_Manuals/OPX-Treatment-Guide-Abodo-Wood-Feb-2023.pdf
Product Rep,A_Structure,Abodo Wood,Performance-Testing-Guide-for-Vulcan-Timber-Abodo-Wood.pdf,6.54,Ingested,36,0,Abodo Wood - Performance-Testing-Guide-for-Vulcan-Timber-Abodo-Wood,A_Structure/Abodo_Wood/Guides_Manuals/Performance-Testing-Guide-for-Vulcan-Timber-Abodo-Wood.pdf
