brand,product,doc_type,codemark_id,branz_number,expiry_date,is_expired,status,bpir_status,scope_limitations
B_Enclosure,DriSpace - Master - DriSpace Product Range Guide 2025,Unknown,,502,,UNKNOWN,CONDITIONAL,UNDECLARED,"or modiﬁed by 
law)."
B_Enclosure,Ecoply - Barrier - Product Brochure,Unknown,,0013,,UNKNOWN,CONDITIONAL,UNDECLARED,"for use with trimming studs checked out for lintels 
Number of Studs 
Indicative"
B_Enclosure,Ecoply - Barrier - Specification and Installation Guide,Unknown,,0120,,UNKNOWN,CONDITIONAL,UNDECLARED,for use with trimming studs checked out for lintels.
B_Enclosure,Gerard - Master NZ Installation Manual v2.3 (Jul 2024),Unknown,,1096,,UNKNOWN,CONDITIONAL,UNDECLARED,for extra high wind zones.
B_Enclosure,Hardie - 00 General - Bracing Design Manual,Unknown,,2022,,UNKNOWN,CONDITIONAL,UNDECLARED,maximum of 4.
B_Enclosure,Hardie - Axon - CLD Structural Cavity Batten Technical Speci,Unknown,number,1211,,UNKNOWN,CONDITIONAL,UNDECLARED,or modified at law.
B_Enclosure,Hardie - Axon - Direct Fix Technical Specification,Unknown,number,1211,,UNKNOWN,CONDITIONAL,UNDECLARED,"buildings which fall within the scope limitations of ‘Acceptable 
Solution E2/AS"
B_Enclosure,Hardie - Axon - Texture Coating Technical Specification,Unknown,,466,,UNKNOWN,CONDITIONAL,UNDECLARED,"under 
the Consumer Guarantees Act."
B_Enclosure,Hardie - Axon - Timber Cavity Batten Technical Specification,Unknown,,1211,,UNKNOWN,CONDITIONAL,UNDECLARED,or modified at law.
B_Enclosure,Hardie - ExoTec - Facades Installation Manual,Unknown,,446,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,Hardie - Linea - BRANZ Appraisal 446 Direct Fixed,Unknown,,446,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
